,pitch,enrichment,kinf mean,kinf sd,res_esc mean,res_esc sd,fast_fiss mean,fast_fiss sd,therm_util mean,therm_util sd,eta mean,eta sd
0,8.58,0.5,0.8834689129783704,0.0044482964271160596,0.8535919145636489,0.004368661216708591,1.0433220525070477,0.00560640392826178,0.861188382805044,0.00468611433662895,1.1519255998649276,0.006304929081894397
1,8.58,0.5306122448979592,0.9109753371350875,0.0051691775188507086,0.8539676863392602,0.004902144254011273,1.0432218161119444,0.00633847139086932,0.865012473534129,0.005289748378575902,1.1821324833547633,0.00730660892560274
2,8.58,0.5612244897959183,0.9353310693472446,0.005128428670989722,0.8525058894918319,0.004751513171060938,1.0436475496163782,0.006129952957041247,0.868355773271469,0.0051606191113739526,1.2106439023856495,0.007250065269863099
3,8.58,0.5918367346938775,0.9577294840538702,0.0047310576495860224,0.8514917653310923,0.0042847994553197565,1.043738874263784,0.005671523460550032,0.8709958812893585,0.0047958323178621115,1.2372414028251282,0.006870463885616305
4,8.58,0.6224489795918368,0.9823877322403503,0.00485177304292794,0.8527501593769669,0.004298352177457461,1.0434500172269077,0.005719080807059208,0.8745373095786061,0.004858382132035839,1.2624411104428532,0.007050023453566012
5,8.58,0.653061224489796,1.002537673668029,0.006081101279450395,0.8518083964393545,0.005230172352599951,1.043563699233511,0.006794506700527035,0.8770293612598578,0.005756679750407881,1.285954754322896,0.008510394831434247
6,8.58,0.6836734693877551,1.0203375491439093,0.005223909050772062,0.8493104246465871,0.00438690242844453,1.0440154471538143,0.005721253401832373,0.8795949772470661,0.004842364906164931,1.3082409806923143,0.007276888350415057
7,8.58,0.7142857142857143,1.0419062198431153,0.005244692165240614,0.8502702430760436,0.004354070097958172,1.0440613206248792,0.00589019027737847,0.8829197661859375,0.005040928364152892,1.32930428274304,0.007645534752816722
8,8.58,0.7448979591836735,1.060076693201936,0.005189563676516444,0.8503003426948185,0.0042372152246762385,1.0440139941521192,0.005570279192005244,0.8849698587466098,0.0047825350442419114,1.3493671488141403,0.007330834578627934
9,8.58,0.7755102040816326,1.0757797268647837,0.005349995606485163,0.8482417587150585,0.004264554132539791,1.045098810280876,0.005650632813482747,0.886993634817656,0.004823742034757241,1.3681252246643354,0.0074970762101532916
10,8.58,0.8061224489795918,1.0935663448503232,0.005061407236078557,0.8488297026809167,0.003966728302188553,1.044717745340391,0.0053695815742757355,0.8895547072832455,0.004592549923681189,1.3862863088121882,0.007225716477940505
11,8.58,0.8367346938775511,1.1100336410639469,0.005767040644022753,0.8481304964382178,0.004480940991079015,1.0455804999699636,0.005970100727883963,0.8920355687908453,0.005155006140911328,1.4032460054231626,0.008169962174619485
12,8.58,0.8673469387755102,1.1226578245929764,0.005838828221708723,0.846796355228768,0.00448018082701308,1.0454585669849226,0.005989002864126237,0.8932829042523925,0.005180233267048731,1.4196215366210514,0.008300099938082062
13,8.58,0.8979591836734694,1.1388705166851698,0.0050203923009351226,0.8470186491872673,0.0037962814731256236,1.0457646588084768,0.005032229636201114,0.8959498717061503,0.004363085095290455,1.4350390030215878,0.007052915834256889
14,8.58,0.9285714285714286,1.1521737018689333,0.00560594536244035,0.8462658739590485,0.004175750492518528,1.0461905068715789,0.005497687042732333,0.8976658250014169,0.004762092596241773,1.4497251187178386,0.007765243684239152
15,8.58,0.9591836734693877,1.1665341746349052,0.005741640680269383,0.8464063706033204,0.004218601341909314,1.046551231383454,0.005667648085943667,0.8996269017603162,0.004907387967344463,1.46384676084503,0.008058063769757809
16,8.58,0.9897959183673469,1.1773916112289489,0.005539747161324604,0.8449503833038208,0.004028573187268463,1.0468934783604227,0.005411891619200552,0.900977031840205,0.004699711401702874,1.4773163884480365,0.007810735261510517
17,8.58,1.0204081632653061,1.1908775422697992,0.006276794030179324,0.8454350544732965,0.004552563571800406,1.0469062365798694,0.006079192998675955,0.9028318945435664,0.005326551479493538,1.4902947590618851,0.008843210190845198
18,8.58,1.0510204081632653,1.2012859904756494,0.00525496798859306,0.843858572889414,0.003766605568599354,1.047618238092055,0.004962913737356626,0.9043421293191266,0.004349328608130162,1.502591514084813,0.00725957618365573
19,8.58,1.0816326530612246,1.213251161720921,0.006489903824451166,0.8435271907544207,0.004568294259254142,1.0480865783515771,0.006089071278956725,0.9061403180444325,0.005305468071295231,1.5144642132660227,0.008948082078833358
20,8.58,1.1122448979591837,1.2235290960612273,0.006804904017727039,0.842510988526418,0.0047553579683775144,1.048425680873953,0.006478092226420661,0.907744078238758,0.005658903206869901,1.5259406865114253,0.009606403091764767
21,8.58,1.1428571428571428,1.2362282854972553,0.0057912558133816185,0.8439561454804347,0.004036564586192329,1.0485648471452407,0.005349531157803946,0.9090816772437549,0.004708477787633754,1.536669946859031,0.00799306178979605
22,8.58,1.1734693877551021,1.2432572209222532,0.006592115252025392,0.8414403998616716,0.004537474440548234,1.0493889830442777,0.005965181456036841,0.9100000074832628,0.005236658315204004,1.5472473021560855,0.008938922941627564
23,8.58,1.2040816326530612,1.254410787442808,0.0062626876935660755,0.8420499971343012,0.004267019075437911,1.0495884571714473,0.00576961115237514,0.9113881659752504,0.00505976939564969,1.5573257706008714,0.008736480250276806
24,8.58,1.2346938775510203,1.263539585268661,0.007440516303468216,0.8406920737525104,0.00500701912397998,1.0501034746020033,0.006677610800300139,0.913271618126505,0.005849130707770168,1.567183472378189,0.010162623329895842
25,8.58,1.2653061224489797,1.271931369878623,0.006231397628774446,0.8402832466137756,0.004181923076270389,1.0504683382202005,0.005463499211198363,0.9140441984059603,0.004805122204624104,1.5764776218187795,0.008377157020729933
26,8.58,1.2959183673469388,1.2805921522393722,0.00633500416975564,0.8392955125651899,0.004202474534337282,1.0516554997045249,0.005656172018815464,0.9150962335246572,0.004956146651289878,1.585461388010779,0.008680373039786778
27,8.58,1.3265306122448979,1.291574964368568,0.006969047924496461,0.8408686300542333,0.0046507822190540934,1.0511350465563298,0.0062220445355714304,0.9165802633649427,0.005526821360013126,1.594272113460954,0.0096941940539694
28,8.58,1.3571428571428572,1.298688054488842,0.007182330280564758,0.8396813741771215,0.004747665259349514,1.0517859764249293,0.006445274312665224,0.9175366863791147,0.005710034612359695,1.6026530417770732,0.010057871507086884
29,8.58,1.3877551020408163,1.3058903430254076,0.006420281528571674,0.8382771902634664,0.004190111986295232,1.0524433848331174,0.0057078703675424135,0.918924117645743,0.005040259617152544,1.6107964678023705,0.00890808254829715
30,8.58,1.4183673469387754,1.3148624679846728,0.007466961242297792,0.8389507977789474,0.004848344314836836,1.052662990922342,0.006502317474922224,0.9197847125747339,0.005752718454184902,1.6187071907919857,0.010207091867108546
31,8.58,1.4489795918367347,1.3198064866455679,0.0072347551208419535,0.8364227554975527,0.004670163386900689,1.053938781082293,0.006239521476243107,0.9207134716267356,0.00552157853899475,1.6260898388325948,0.009818716037130028
32,8.58,1.4795918367346939,1.3279080741708635,0.006666311868301444,0.8365219652202416,0.004279428824130953,1.0543706480071604,0.005880883837746963,0.9216869680255464,0.005205718201782265,1.6334803264949616,0.009310389912822334
33,8.58,1.510204081632653,1.3341005352758895,0.007050790091074626,0.8355769711413132,0.004516867948616295,1.0546142131137912,0.0061479741575005045,0.922738448965547,0.00547073177547502,1.640702572066946,0.009811028025774002
34,8.58,1.5408163265306123,1.3441235893766617,0.007125866010570156,0.8374281884219595,0.004543961079448726,1.0544984057217275,0.006081873189693573,0.9237991765353142,0.005423595135203683,1.647662013736307,0.009718686517229909
35,8.58,1.5714285714285714,1.3474283892856636,0.007834098542074763,0.8348508664027714,0.004953195834782344,1.0551678051739415,0.006618986344420024,0.92469631823515,0.00588989713458365,1.6541547294440588,0.01061336597979387
36,8.58,1.6020408163265305,1.3578633940347677,0.006893946154502025,0.8365907180664719,0.004322721598421309,1.055821247915323,0.005765149915142629,0.9257145125103544,0.0051215174952172066,1.6606402835686949,0.009252525049113464
37,8.58,1.6326530612244898,1.3629424648112782,0.006484311287903965,0.8356060213649018,0.004074569494169684,1.0560175395600244,0.005370045219361996,0.9265995365076956,0.004805503125591127,1.6669123027730326,0.008699816323720492
38,8.58,1.663265306122449,1.367289447688882,0.006352540019108556,0.8337318883215821,0.003963160576836103,1.0567823752334686,0.005400774375550574,0.9275321896696422,0.004822167545433562,1.6730907467679816,0.008750108086047485
39,8.58,1.693877551020408,1.3724412213248212,0.006230770565679632,0.8333731212481592,0.0038911804409702,1.0569938826798597,0.005246612906543602,0.9279764301813571,0.004709374665925197,1.6789773797024061,0.008571298799788194
40,8.58,1.7244897959183674,1.3778727259209735,0.006833395992684166,0.8322854941894207,0.004250364731847676,1.057988786907881,0.005747500739913026,0.9288049783372876,0.005162096202281316,1.6847333726926474,0.009414709731080637
41,8.58,1.7551020408163265,1.3835287507741783,0.007534520544086274,0.8319393157991734,0.004615157795632543,1.0580516297672258,0.0062318576050947785,0.929863982471863,0.0055504519230100665,1.6903251503233525,0.010175237327483301
42,8.58,1.7857142857142856,1.3894971642819907,0.008075991419928312,0.8319694219515684,0.0049476418976345275,1.0591553749810103,0.006791652651480794,0.9298570040305401,0.006064420678448744,1.6957993286535875,0.011170024102651563
43,8.58,1.816326530612245,1.3957078761293693,0.006971389250212087,0.8320588707798202,0.004248134004645513,1.0592741935431207,0.005632308636028735,0.9309917904231617,0.005037089923685118,1.7009291769374315,0.00928950001099703
44,8.58,1.846938775510204,1.4021613650191322,0.0071617512950333025,0.8324683735087257,0.004348261571221126,1.0597027124228302,0.005974011029429168,0.9316096790545367,0.0053380180734174595,1.7061303764078404,0.009824025769870796
45,8.58,1.8775510204081631,1.4055593041599461,0.007290378366062133,0.8307472784083465,0.0043984533602190205,1.060346862451897,0.006165936369771726,0.9324212651156389,0.0055018684748129295,1.711276245505315,0.010217776856393706
46,8.58,1.9081632653061225,1.4116141165896803,0.007375168262002753,0.8307923371152361,0.004452899440866556,1.0609599309453164,0.006108470891990179,0.9332293561137616,0.00548126790332134,1.7160744948072455,0.010124713506121895
47,8.58,1.9387755102040816,1.4125433046888882,0.007780192772988384,0.8283845199105998,0.0046891913921502364,1.0611497053840724,0.006246388521939809,0.93377652234973,0.0056231053317839595,1.7208784184818349,0.010434831811168272
48,8.58,1.9693877551020407,1.4174323594244147,0.007292260702141641,0.8273501102550522,0.004372448825280922,1.0627411387194226,0.005948475132595589,0.9343492272608075,0.0053388801844834145,1.725346356208993,0.009912552682475533
49,8.58,2.0,1.4251379176523735,0.007051351113610075,0.8290061464598444,0.004171525863044187,1.0622948701065351,0.005577631398176775,0.935428179843218,0.004975901369694133,1.729990074720139,0.009279203343375265
